일시,대여소,대여건수,반납건수
202301,1003. 해공도서관앞,1,0
202301,104. 합정역 1번출구 앞,1,0
202301,106. 합정역 7번출구 앞,4,11
202301,107. 신한은행 서교동지점,2,0
202301,1108. 공항시장역 2번출구 뒤,0,1
202301,112. 극동방송국 앞,2,1
202301,1124. 발산역 6번 출구 뒤,1,3
202301,113. 홍대입구역 2번출구 앞,1,0
202301,114. 홍대입구역 8번출구 앞,0,1
202301,1149. 신방화역환승주차장,9,5
202301,1150. 송정역 1번출구,1,2
202301,"1153. 발산역 1번, 9번 인근 대여소",2,0
202301,1162. 공항초등학교건너편,1,1
202301,1163. 방화동강서기동대앞,1,1
202301,1197. 엠펠리체 호텔 건너편,1,1
202301,1205. 종합운동장역 4번출구,0,3
202301,1210. 롯데월드타워(잠실역2번출구 쪽),3,2
202301,1222. 잠실새내역 5번 출구 뒤,2,6
202301,1231. 잠실역 6번출구,0,1
202301,1232. 잠실주공 521동 건너편,1,0
202301,1251. 석촌역 2번출구,1,1
202301,1277. 성내6교,1,0
202301,1278. 송파구청 교차로,0,2
202301,128. 신촌역(2호선) 1번출구 옆,1,1
202301,1333. 석관초등학교 앞,1,1
202301,140. 이화여대 후문,4,3
202301,144. 공덕역 8번출구,0,1
202301,1447. 면목역 3번출구,1,1
202301,1452. 겸재교 진입부,1,0
202301,146. 마포역 2번출구 뒤,0,1
202301,1503. 강북구청사거리(수유역 8번출구),1,0
202301,159. 이대역 4번 출구,1,1
202301,1643. 태릉입구역 8번출구,1,0
202301,170. DMC파크뷰자이아파트 302동 앞,3,3
202301,171. 임광빌딩 앞,1,0
202301,179. 가좌역 4번출구 앞,1,0
202301,181. 망원초록길 입구,1,2
202301,182. 망원2빗물펌프장 앞,2,2
202301,186. 월드컵공원,2,1
202301,1974. 신도림2차e편한세상아파트 203동 앞,1,0
202301,2002. 노들역 1번출구,0,1
202301,204. 국회의사당역 5번출구 옆,1,3
202301,205. 산업은행 앞,1,0
202301,206. KBS 앞,4,4
202301,207. 여의나루역 1번출구 앞,31,49
202301,2077.노들역 3번출구,0,1
202301,2130. 영어마을 관악캠프,2,0
202301,214. 금융감독원 앞,0,2
202301,215. 여의도고교 앞,6,0
202301,2183. 동방1교,2,3
202301,2198.사랑의병원,2,2
202301,2199.신봉천주유소 A,2,2
202301,221. 여의도초교 앞,0,2
202301,2213. 고속터미널역 5번출구 앞,1,0
202301,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",6,2
202301,2222.사당역 12번출구 뒤,1,0
202301,2231. 삼성타운(삼성생명) A동 맞은편,1,0
202301,2259. 잠원역 3번-4번 출구사이 ,2,1
202301,226. 샛강역 1번출구 앞,4,4
202301,2262. 한신16차아파트 119동 앞,5,2
202301,227. 양평2나들목 보행통로 입구,0,4
202301,2285. LH서초3단지 301동 맞은편,1,1
202301,2301. 현대고등학교 건너편,3,3
202301,2303. 논현역 10번출구,0,1
202301,2313. 금원빌딩 앞,1,2
202301,2317. 삼성도로공원,2,0
202301,2319. 포스코사거리 서측(수협 삼성동 지점),1,0
202301,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,0,1
202301,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),1,1
202301,236. 문래동자이아파트 앞,0,1
202301,2429.압구정로데오역 6번출구,1,1
202301,249. 여의도중학교 옆,30,19
202301,2504. 신사역 4번출구 뒤,2,1
202301,2523.뉴코아 킴스클럽 앞,0,1
202301,2524.반포쇼핑타운 8동 앞,5,0
202301,2525.반포쇼핑타운 2동 앞,6,4
202301,2527.반포중학교 앞(세화여고 맞은편),0,1
202301,260. 여의도 마리나선착장 앞,1,0
202301,2608. 송파구청,4,0
202301,2621. 한성백제역 2번 출구,0,1
202301,2622. 올림픽공원역 3번출구,1,0
202301,272. 당산육갑문,8,3
202301,2725.서울식물원 식물문화센터,1,0
202301,2728.마곡나루역 3번 출구,0,1
202301,276. 영등포로터리2,1,1
202301,2919.등나무 근린공원(시립북서울미술관 앞) ,1,0
202301,298.KBS 연구동 건너편,0,2
202301,299.여의도 순복음교회,0,1
202301,301. 경복궁역 7번출구 앞,0,2
202301,3011.경의선(노고산동),1,0
202301,302. 경복궁역 4번출구 뒤,3,1
202301,309. 광화문역 6번출구 옆 B,2,2
202301,3104. e편한세상 신촌4단지 앞,0,1
202301,3114.충정로역 3번 출구,0,1
202301,3117.이화여대 인문관 인근,0,2
202301,3119.연희 브라운스톤 아파트 앞,2,2
202301,314. 국립현대미술관,2,0
202301,318. 광교사거리 남측,2,0
202301,320. 을지로입구역 4번출구 앞,4,2
202301,321. KEB 하나금융그룹 명동사옥 옆,8,5
202301,322. 명동성당 앞,6,2
202301,324. 신세계백화점 본점 앞,0,1
202301,326. 안국역 5번출구 앞,1,4
202301,327. 낙원상가 옆,1,0
202301,329. 청계2가 사거리 옆,0,2
202301,3311.서울대입구역 4번 출구,0,1
202301,332. 을지로2가 사거리 남측,0,2
202301,334. 종로3가역 2번출구 뒤,0,2
202301,335. 종로3가역 15번출구 앞,1,0
202301,336. 충무로역 6번출구 앞,9,4
202301,3407.안국동사거리(신),6,0
202301,3410.종로3가역 8번출구,13,11
202301,3412.세운상가,0,1
202301,3414.종로5가역 4번출구,0,3
202301,3415.동대문역6번출구,1,1
202301,3416.동묘앞역 6번출구,1,1
202301,346. 맥스타일 앞,2,3
202301,347. 동대문역사문화공원역 9번출구 앞,13,7
202301,3506. 영동대교 북단,0,1
202301,3507. 어린이회관,0,1
202301,3515. 서울숲 관리사무소,7,7
202301,352. 중앙고입구 삼거리,1,3
202301,353. 재동초교 앞 삼거리,6,2
202301,3533. 건대입구역 사거리(롯데백화점),0,3
202301,354. 포르투갈 대사관 앞,0,1
202301,3544.한양대역 3번 출구,0,1
202301,3552.서울숲 공영주차장앞,1,0
202301,3553.마장역3번출구,1,0
202301,3559.성동구민종합체육센터 앞,1,0
202301,3560.성동구 견인차량 보관소 앞,2,0
202301,3569.건대병원후문,1,1
202301,3627. 압구정나들목,1,1
202301,3640. 일원1동주민센터앞 사거리,3,1
202301,3651. 개포동역 4번출구,0,2
202301,367. 독립문역 3-1번출구 ,1,0
202301,369. 광화문 시민열린마당,1,2
202301,371. 동대입구역 6번출구 뒤,0,1
202301,3774. 마곡9단지 910동 상가앞,0,2
202301,380. CJ제일제당 앞,7,6
202301,3804. 낙성대공원,0,2
202301,3810. 신봉천주유소 B,1,1
202301,3819. 서울대벤처타운역,1,0
202301,385. 종각역 5번출구,0,1
202301,387. 훈련원공원주차장 앞,4,3
202301,393. 동대문역 8번 출구,0,3
202301,397. 종묘공영주차장 건너편,0,4
202301,398. 을지로3가역 3번출구,2,0
202301,4029. 청소년수련관 후문,0,1
202301,4180. 흑석동주민센터 입구,2,0
202301,420. 서울시 공공자전거 상암센터,2,0
202301,4217. 한강공원 망원나들목,4,4
202301,4274. 신촌 파랑고래 입구,1,1
202301,428. 명보사거리,3,1
202301,430. 장충동먹자골목 앞,0,2
202301,431. 청계천 영도교,1,2
202301,433. 을지로입구역 2번출구,0,1
202301,434. 신당 래미안 버스정류장,1,1
202301,435. SK 남산빌딩,1,0
202301,436. 이대역 5번출구,1,1
202301,4389. 서울숲역3번출구,1,2
202301,445.대한상공회의소,1,0
202301,4457. 아산병원 기숙사 부근,1,0
202301,4464. 올림픽공원 북2문,1,2
202301,4481. 올림픽공원 북2문 2,3,1
202301,453. 종로오가 지하쇼핑센터 14번출구,4,5
202301,455. 종로6가역 버스정류장(동대문 방향),2,0
202301,4564. 63스퀘어,3,13
202301,4565. 영등포 신세계백화점,4,0
202301,4568. 영등포로터리,1,1
202301,4580. 국회3문,2,0
202301,4607. 국립중앙박물관 -용산가족공원 앞,5,3
202301,4608. 국립중앙박물관 정문 앞,0,1
202301,4611. 국제루터교회 앞,0,2
202301,4613. 서울갤러리아 앞,3,3
202301,4615. 크라운호텔앞 버스정류소,0,4
202301,4621. 남산도서관 앞,2,0
202301,4623. 라인프랜즈이태원점 앞,2,0
202301,4634. 이태원역 3번 출구,2,6
202301,4637. 용산시티파크 101동 앞,1,1
202301,466.롯데호텔,0,2
202301,467.한국은행,0,4
202301,468.웨스틴 조선호텔,0,1
202301,471.회현사거리 남측,3,2
202301,4719. 종로문화원 건너편,1,0
202301,472.삼일교(시그니쳐 타워),1,0
202301,473.을지로4가역 9번출구,11,16
202301,474.동대문역사문화공원역 1번출구 뒤편,13,11
